Cpf,Credit,Idades_ clientes
3776,659,57
3642,970,22
1896,677,38
9496,762,26
2365,482,57
4343,324,23
9844,750,63
2731,228,64
3809,5,59
8265,617,67
4466,17,45
8638,332,58
3662,745,20
9604,360,65
2013,468,61
2509,686,30
8608,759,55
8287,88,59
4328,641,26
2167,395,41
4460,329,47
7316,591,67
5463,646,36
8776,908,44
9413,169,54
1191,955,20
4076,281,41
2607,656,50
2276,745,38
9895,764,32
1548,221,26
4872,680,65
2277,102,41
4151,137,62
2112,712,65
1047,458,54
5318,198,32
9750,639,49
1499,581,68
1663,895,41
3648,839,55
4339,615,43
7774,675,39
8788,914,20
4993,417,44
7442,814,69
6514,890,19
3240,887,63
9572,230,61
2899,362,29
2403,421,59
3785,894,31
9332,56,19
8371,505,31
8655,251,68
5704,922,22
7222,308,44
1505,973,49
4674,31,42
7753,735,24
6538,333,42
6537,981,50
3714,403,22
9810,411,32
4150,781,34
5284,964,57
6377,49,34
3546,403,28
5262,370,51
1460,659,56
4385,211,62
4472,753,41
1865,728,42
2737,659,38
6477,344,21
2507,296,68
7196,540,30
3057,183,46
4342,858,42
1122,147,23
7589,519,41
6335,260,47
4448,428,41
3384,569,67
4691,530,48
7866,779,50
6109,824,48
4116,406,46
9187,122,24
1582,534,33
4583,634,63
9107,250,58
3823,468,66
8717,386,46
3374,704,30
8657,572,56
2637,225,47
1535,322,30
7862,782,45
2287,309,44
